プレイ中登場順,クリア後表示,コンテンツ,属性情報,単位,結果画面豆知識解説内容（スライド対応）,基礎情報,公式サイトURL
,1,つくばりんりんロード,40.1,km,"つくばりんりんロードの長さは40.1km。
筑波鉄道の廃線を利用した、自転車専用道路！
高低差が少なくて景色と風を楽しめて、快適のび〜！","高低差が少なく快適な自転車専用道路。
自転車で景色と風を楽しもう！",http://www.pref.ibaraki.jp/doboku/urado/rinnrinroad.html
○,,筑波大学,4,km,,南北方向の距離。端から端までの移動教室は大変！,
○,1,牛久大仏,120,m,,世界最大級の仏像。立像です。,
○,,つくばエクスプレスの駅数,20,駅,,全路線で高架もしくは地下を通行し、踏切は一切ない。,
,,水戸黄門祭り,36,年（昭和）,,"昭和３６年に始まったまつり。毎年８月の第1金・土・日開催。 約４,５００発の花火が打ち上げられ、水戸黄門パレードなど、色々なイベントが開催されるよ！",http://www.mitokoumon.com/festival/mitokoumon.html
,1,納豆の年間消費支出額,2014,円/人/年,,1年間に納豆に対して払う金額はだいたい全国1位！毎年、全国平均の約2倍納豆にお金をかけているよ！,
○,,つくばエクスプレスの始発駅から終点までの最短時間,45,分,,全路線で高架もしくは地下を通行し、踏切は一切ない。,
,1,栗の生産量,4740,t/年,,栗の生産量日本一！日本中で出回っている栗のうち、4分の1は茨城県産の栗だよ！,
○,,つくばエクスプレスの総延長,58.3,km,,秋葉原からつくば駅まで、km,
,1,アクアワールド大洗水族館,68000,魚（匹）,,"サメは50種類以上！
",
○,,袋田の滝,120,高さ(m),,日本3名瀑。幅は73m！,
○,1,ひばり,,,,,
○,,つくばエクスプレスの運賃（初乗り）,120,円,,全路線で高架もしくは地下を通行し、踏切は一切ない。,
,2,ROCK IN JAPAN FESTIVAL,16,万人/日,"ROCK IN JAPAN FESTIVAL
国内最大のロックフェスイベント！
一日の来場者数はなんと16万人！東京ドームだいたい３個分のび〜！！",国営ひたち海浜公園で毎年開催される、ROCK IN JAPAN FESTIVALの1日当たりの来場者数。東京ドーム3個ちょっとが満員になるよ！,http://rijfes.jp/
○,2,偕楽園の梅,3000,本,,"日本三公園のひとつ。世界で2番目に大きい公園！
梅の季節（●月）には、毎年〇●人の人が訪れるよ！",
,2,メロン消費量,12519,グラム/人/年,,"メロンの１人当りの消費量日本一！
メロンの生産量は全国２位。地元の旬を楽しめるよ！",
○,,つくばエクスプレスの運賃（始発駅から終点まで）,1150,円,,全路線で高架もしくは地下を通行し、踏切は一切ない。,
○,2,水戸タワー,,,,,
,3,酒蔵の数,46,箇所,,"酒造は関東1多い。呑兵衛さんいらっしゃい。
（※ストップ　飲酒運転！）",
○,3,筑波山,870,高さ(m),"筑波山の標高は870m。
登山・ハイキイングなど、年間を通して自然に親しめるよ！ケーブルカー、ロープウェイもあります。ふもとの田園風景と筑波山の景色も素敵！
のび〜る君も、870mの高身長になりたいのび〜！",登山・ハイキイングなど、年間を通して自然に親しめるよ！ケーブルカー、ロープウェイもあります。ふもとの田園風景と筑波山の景色も素敵！,http://www.ibarakiguide.jp/db-kanko/mt_tsukuba.html
,3,プリン消費量,2071,円/人/年,,プリンの１人当りの消費量日本一！,
,,茨城県の総面積,6000,km2,のび〜る君も、870mの高身長になりたいのび〜！,"平坦部が多く、人が住める土地の面積は約4,000km2で、北海道、新潟県、福島県に次ぐ4位だよ！",http://www.pref.ibaraki.jp/doboku/doiji/doro/08date/date002.html
,3,偕楽園,,面積,,日本三公園のひとつ。世界で2番目に大きい公園！,
,,県内道路総延長,56154,長さ（m),,"総延長は本州1位！
ドライブが楽しめる県！Be a Driver♪",
,4,竜神大橋バンジージャンプ,100,高さ(m),,"橋から水面まで100mの間をバンジージャンプ！
高層ビルで30階相当の高さを落ちます！",http://ohtsuribashi.ryujinkyo.jp/
,,海岸線総延長,193959,m,,国営ひたち海浜公園では、毎年ROCK IN JAPAN FESTIVALが開催されるよ！,
,4,鹿島臨海工業地帯,150,工場（社）,"鹿島臨海工業地帯の工場数は１５０社。
地上や高さ52ｍの展望台、遊覧船ユーリカ号に乗って海上からなど、いろんな角度から工場を眺めて楽しめる！ライトアップされた幻想的な夜景や明け方などはとってもロマンチックのび〜！",プラントの夜景は圧巻！,http://www.kamisu-kanko.jp/koujou/
,,大洗マリンタワー,,,,,
○,4,水戸光圀の移動距離,,,,,
○,4,イトカワ,,,,,
○,"1,2",竜神大橋,375,長さ（m),,"本州一の長さ
橋から水面までの高さは100ｍ。
バンジージャンプもできるよ！",http://ohtsuribashi.ryujinkyo.jp/
,"3,4",土浦全国花火競技大会,3,大花火,,日本三大花火大会のひとつ。全国の一流花火職人による芸術的な花火で、夏の夜を楽しむことができるよ！,http://www.tsuchiura-hanabi.jp/
